Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 30,boxscore,ATL,@,WSN,W,7,2,,1-0,1,Tied,Luetge,Corbin,,3:07,D,35756,.99,+,
2,Saturday Apr 1,boxscore,ATL,@,WSN,W,7,1,,2-0,1,up 0.5,Strider,Gray,,2:21,D,27529,1.08,++,
3,Sunday Apr 2,boxscore,ATL,@,WSN,L,1,4,,2-1,2,0.5,Gore,Shuster,Finnegan,2:17,D,21440,1.09,-,
4,Monday Apr 3,boxscore,ATL,@,STL,W,8,4,,3-1,1,up 0.5,Morton,Woodford,,2:46,N,37689,1.00,+,
5,Tuesday Apr 4,boxscore,ATL,@,STL,W,4,1,,4-1,1,up 1.5,Dodd,Matz,Minter,2:20,N,36501,1.06,++,
6,Wednesday Apr 5,boxscore,ATL,@,STL,W,5,2,,5-1,1,up 2.5,Elder,Mikolas,Chavez,2:27,D,36300,1.09,+++,
7,Thursday Apr 6,boxscore,ATL,,SDP,W-wo,7,6,,6-1,1,up 3.0,Minter,Crismatt,,3:14,N,42803,1.13,++++,
8,Friday Apr 7,boxscore,ATL,,SDP,L,4,5,,6-2,1,up 2.0,Honeywell,Tonkin,Hader,3:01,N,41963,1.17,-,
9,Saturday Apr 8,boxscore,ATL,,SDP,L,1,4,,6-3,1,up 1.0,Wacha,Morton,Hader,2:55,N,40154,1.14,--,
10,Sunday Apr 9,boxscore,ATL,,SDP,L,2,10,,6-4,1,up 1.0,Lugo,Dodd,,2:50,N,40138,1.11,---,
11,Monday Apr 10,boxscore,ATL,,CIN,W-wo,5,4,10,7-4,1,up 1.0,Lee,Law,,2:47,N,30237,1.07,+,
12,Tuesday Apr 11,boxscore,ATL,,CIN,W,7,6,,8-4,1,up 2.0,Tonkin,Cessa,Anderson,2:44,N,33559,1.12,++,
13,Wednesday Apr 12,boxscore,ATL,,CIN,W,5,4,,9-4,1,up 2.0,Yates,Farmer,Minter,2:32,N,30648,1.12,+++,
14,Friday Apr 14,boxscore,ATL,@,KCR,W,10,3,,10-4,1,up 2.0,Morton,Singer,,2:22,N,20186,1.08,++++,
15,Saturday Apr 15,boxscore,ATL,@,KCR,W,9,3,,11-4,1,up 2.0,Elder,Bubic,,2:48,D,17644,1.16,+++++,
16,Sunday Apr 16,boxscore,ATL,@,KCR,W,5,4,,12-4,1,up 2.0,Anderson,Barlow,Minter,2:21,D,22040,1.15,++++++,
17,Monday Apr 17,boxscore,ATL,@,SDP,W,2,0,,13-4,1,up 2.0,Fried,Weathers,Minter,2:22,N,31846,1.21,+++++++,
18,Tuesday Apr 18,boxscore,ATL,@,SDP,W,8,1,,14-4,1,up 3.0,Strider,Snell,,2:32,N,42693,1.21,++++++++,
19,Wednesday Apr 19,boxscore,ATL,@,SDP,L,0,1,,14-5,1,up 2.0,Martinez,Morton,Hader,2:13,D,29581,1.22,-,
20,Friday Apr 21,boxscore,ATL,,HOU,L,4,6,,14-6,1,up 0.5,Neris,Minter,Pressly,2:50,N,41397,1.15,--,
21,Saturday Apr 22,boxscore,ATL,,HOU,L,3,6,,14-7,1,up 0.5,Valdez,Wright,Abreu,2:22,N,42399,1.16,---,
22,Sunday Apr 23,boxscore,ATL,,HOU,L,2,5,,14-8,1,up 0.5,Neris,Minter,Abreu,2:52,D,41530,1.11,----,
23,Monday Apr 24,boxscore,ATL,,MIA,W,11,0,,15-8,1,up 1.0,Strider,Cabrera,,2:21,N,28241,1.24,+,
24,Tuesday Apr 25,boxscore,ATL,,MIA,W,7,4,,16-8,1,up 2.0,Morton,Hoeing,,2:32,N,34059,1.27,++,
25,Wednesday Apr 26,boxscore,ATL,,MIA,W,6,4,,17-8,1,up 3.0,Tonkin,Floro,Minter,2:28,N,30282,1.29,+++,
26,Thursday Apr 27,boxscore,ATL,,MIA,L,4,5,,17-9,1,up 2.0,Puk,Minter,Floro,2:34,D,32196,1.31,-,
27,Friday Apr 28,boxscore,ATL,@,NYM,W,4,0,5,18-9,1,up 3.0,Fried,Peterson,,1:23,N,29240,1.39,+,
28,Monday May 1 (1),boxscore,ATL,@,NYM,W,9,8,,19-9,1,up 3.0,Strider,Reyes,Minter,2:53,D,,1.34,++,
29,Monday May 1 (2),boxscore,ATL,@,NYM,L,3,5,,19-10,1,up 3.0,Smith,Morton,Robertson,2:32,D,27603,1.37,-,
30,Tuesday May 2,boxscore,ATL,@,MIA,W,6,0,,20-10,1,up 3.5,Elder,Alcantara,,2:40,N,8626,1.32,+,
31,Wednesday May 3,boxscore,ATL,@,MIA,W,14,6,,21-10,1,up 5.0,McHugh,Garrett,,2:37,N,10428,1.35,++,
32,Thursday May 4,boxscore,ATL,@,MIA,W,6,3,,22-10,1,up 6.0,Dodd,Luzardo,Minter,2:36,D,8295,1.32,+++,
33,Friday May 5,boxscore,ATL,,BAL,L,4,9,,22-11,1,up 5.0,Kremer,Fried,,2:45,N,40176,1.20,-,
34,Saturday May 6,boxscore,ATL,,BAL,W,5,4,,23-11,1,up 6.0,Minter,Coulombe,Iglesias,2:52,N,41454,1.23,+,
35,Sunday May 7,boxscore,ATL,,BAL,W-wo,3,2,12,24-11,1,up 7.0,Tonkin,Pérez,,3:29,D,40800,1.14,++,
36,Tuesday May 9,boxscore,ATL,,BOS,W,9,3,,25-11,1,up 7.5,Morton,Pivetta,,2:42,N,36805,1.16,+++,
37,Wednesday May 10,boxscore,ATL,,BOS,L,2,5,,25-12,1,up 6.5,Bello,Minter,Jansen,2:43,N,40270,1.14,-,
38,Friday May 12,boxscore,ATL,@,TOR,L,0,3,,25-13,1,up 6.0,Bassitt,Strider,,2:12,N,35047,1.16,--,
39,Saturday May 13,boxscore,ATL,@,TOR,L,2,5,,25-14,1,up 5.0,Swanson,Minter,Romano,2:50,D,41341,1.21,---,
40,Sunday May 14,boxscore,ATL,@,TOR,L-wo,5,6,,25-15,1,up 5.0,Pearson,Iglesias,,3:04,D,40895,1.24,----,
41,Monday May 15,boxscore,ATL,@,TEX,W,12,0,,26-15,1,up 6.0,Morton,Bradford,,2:31,N,26791,1.25,+,
42,Tuesday May 16,boxscore,ATL,@,TEX,L,4,7,,26-16,1,up 5.0,Dunning,Shuster,Smith,2:15,N,23246,1.20,-,
43,Wednesday May 17,boxscore,ATL,@,TEX,W,6,5,,27-16,1,up 5.0,Anderson,Burke,Iglesias,2:29,N,30035,1.27,+,
44,Friday May 19,boxscore,ATL,,SEA,W,6,2,,28-16,1,up 5.5,McHugh,Miller,,2:29,N,40412,1.19,++,
45,Saturday May 20,boxscore,ATL,,SEA,L,3,7,,28-17,1,up 4.5,Gilbert,Tonkin,,2:46,N,40250,1.19,-,
46,Sunday May 21,boxscore,ATL,,SEA,W,3,2,,29-17,1,up 5.0,Shuster,Kirby,Iglesias,2:05,D,40213,1.27,+,
47,Monday May 22,boxscore,ATL,,LAD,L,6,8,,29-18,1,up 4.5,Phillips,Morton,Graterol,2:54,N,40205,1.31,-,
48,Tuesday May 23,boxscore,ATL,,LAD,L,1,8,,29-19,1,up 4.5,Miller,Strider,,2:48,N,36731,1.33,--,
49,Wednesday May 24,boxscore,ATL,,LAD,W-wo,4,3,,30-19,1,up 5.5,Iglesias,Bickford,,2:42,N,37838,1.38,+,
50,Thursday May 25,boxscore,ATL,,PHI,W,8,5,,31-19,1,up 5.5,Anderson,Soto,Iglesias,2:44,N,43216,1.43,++,
51,Friday May 26,boxscore,ATL,,PHI,L,4,6,,31-20,1,up 4.5,Walker,Jiménez,Kimbrel,2:55,N,40533,1.37,-,
52,Saturday May 27,boxscore,ATL,,PHI,L,1,2,,31-21,1,up 4.5,Wheeler,Morton,Kimbrel,2:24,D,42665,1.37,--,
53,Sunday May 28,boxscore,ATL,,PHI,W,11,4,,32-21,1,up 4.5,Strider,Covey,,2:52,N,43109,1.48,+,
54,Monday May 29,boxscore,ATL,@,OAK,L,2,7,,32-22,1,up 4.0,Erceg,Soroka,,2:31,N,8556,1.25,-,
55,Tuesday May 30,boxscore,ATL,@,OAK,L-wo,1,2,,32-23,1,up 4.0,Fujinami,Iglesias,,2:19,N,5116,1.28,--,
56,Wednesday May 31,boxscore,ATL,@,OAK,W,4,2,,33-23,1,up 4.0,Shuster,Kaprielian,Iglesias,2:19,D,6429,1.31,+,
57,Friday Jun 2,boxscore,ATL,@,ARI,L,2,3,,33-24,1,up 3.5,Kelly,Morton,Castro,2:11,N,27469,1.38,-,
58,Saturday Jun 3,boxscore,ATL,@,ARI,W,5,2,,34-24,1,up 3.5,Strider,Nelson,Iglesias,2:44,N,36529,1.41,+,
59,Sunday Jun 4,boxscore,ATL,@,ARI,W,8,5,,35-24,1,up 3.5,Minter,Castro,Iglesias,3:13,D,32401,1.39,++,
60,Tuesday Jun 6,boxscore,ATL,,NYM,W,6,4,,36-24,1,up 3.0,Elder,Smith,Iglesias,2:38,N,37365,1.46,+++,
61,Wednesday Jun 7,boxscore,ATL,,NYM,W,7,5,,37-24,1,up 3.0,Anderson,Raley,Minter,2:54,N,40178,1.36,++++,
