Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,451,1,Mar 30,ATL,@,WSN,W7-2,CG,5,2,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,.000,.600,.000,.600,3,1.21,0.099,1.20,0.06%,1.08,8.00,12.50,3B
2,452,2,Apr 1,ATL,@,WSN,W7-1,CG,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.167,.444,.167,.611,3,.41,-0.012,.44,-0.01%,-0.90,5.00,6.20,3B
3,453,3,Apr 2,ATL,@,WSN,L1-4,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.200,.385,.200,.585,3,.81,0.011,.88,0.01%,-0.05,3.00,3.00,3B
4,454,4,Apr 3,ATL,@,STL,W8-4,CG,5,4,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.214,.389,.429,.817,3,.25,0.089,.25,0.05%,0.42,16.00,21.70,3B
5,455,5,Apr 4,ATL,@,STL,W4-1,CG,4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.222,.364,.556,.919,3,.62,0.116,.66,0.07%,0.93,16.00,22.20,3B
6,456,6,Apr 5,ATL,@,STL,W5-2,CG,4,4,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.273,.385,.591,.976,3,.43,0.053,.46,0.04%,0.74,12.00,15.70,3B
7,457,7,Apr 6,ATL,,SDP,W7-6,CG,5,3,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,.280,.387,.560,.947,3,1.58,-0.004,1.78,0.00%,-0.34,7.00,9.50,3B
8,458,8,Apr 7,ATL,,SDP,L4-5,CG,5,3,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,.357,.472,.607,1.079,3,2.18,0.405,2.55,0.29%,2.75,15.00,18.50,3B
9,459,9,Apr 8,ATL,,SDP,L1-4,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.313,.425,.531,.956,3,1.05,-0.122,1.19,-0.08%,-0.99,0.00,0.00,3B
10,460,10,Apr 9,ATL,,SDP,L2-10,GS-9,4,3,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,.314,.432,.514,.946,3,.87,-0.066,.96,-0.04%,-0.46,5.00,6.00,3B
11,461,11,Apr 10,ATL,,CIN,W5-4,CG(10),5,5,2,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.300,.408,.475,.883,3,1.31,-0.174,1.41,-0.11%,-1.90,7.00,9.40,3B
12,462,12,Apr 11,ATL,,CIN,W7-6,CG,5,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.318,.426,.477,.903,3,.70,0.032,.78,0.02%,0.45,10.00,12.20,3B
13,463,13,Apr 12,ATL,,CIN,W5-4,CG,4,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.340,.448,.511,.959,3,1.00,0.087,1.13,0.06%,0.62,12.00,15.20,3B
14,464,14,Apr 14,ATL,@,KCR,W10-3,CG,5,5,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,.327,.429,.538,.967,3,.31,0.053,.34,0.03%,0.04,14.00,18.70,3B
15,465,15,Apr 15,ATL,@,KCR,W9-3,CG,5,5,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.316,.412,.509,.921,3,.89,-0.067,1.03,-0.05%,-1.52,7.00,9.40,3B
16,466,16,Apr 16,ATL,@,KCR,W5-4,CG,4,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,.322,.417,.508,.925,3,1.30,0.040,1.49,0.03%,0.18,7.00,9.50,3B
17,467,17,Apr 17,ATL,@,SDP,W2-0,CG,4,4,1,1,0,0,1,2,0,0,2,0,0,0,0,1,0,0,.317,.408,.540,.948,3,1.17,0.007,1.42,0.01%,-0.56,16.00,22.20,3B
18,468,18,Apr 18,ATL,@,SDP,W8-1,CG,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.294,.383,.500,.883,3,.44,-0.054,.53,-0.04%,-0.95,0.00,0.00,3B
19,469,19,Apr 19,ATL,@,SDP,L0-1,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.282,.376,.479,.855,3,2.09,-0.058,2.55,-0.04%,-1.21,2.00,3.00,3B
20,470,20,Apr 21,ATL,,HOU,L4-6,CG,4,4,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,.293,.382,.493,.875,3,.95,-0.021,1.09,-0.01%,0.41,12.00,15.70,3B
21,471,21,Apr 22,ATL,,HOU,L3-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.366,.468,.834,3,1.42,-0.145,1.64,-0.10%,-1.19,0.00,0.00,3B
22,472,22,Apr 23,ATL,,HOU,L2-5,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.268,.361,.451,.812,3,1.19,0.028,1.32,0.02%,-0.04,2.00,3.00,3B
23,473,23,Apr 24,ATL,,MIA,W11-0,CG,5,3,3,1,0,0,1,2,2,0,1,0,0,0,0,0,0,0,.271,.373,.482,.855,3,.47,-0.020,.58,-0.02%,2.01,24.00,34.60,3B
24,474,24,Apr 25,ATL,,MIA,W7-4,CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,.270,.368,.472,.840,3,.70,0.003,.88,0.00%,-1.10,5.00,6.50,3B
25,475,25,Apr 26,ATL,,MIA,W6-4,CG,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.269,.364,.473,.837,3,1.17,-0.057,1.51,-0.04%,-0.20,7.00,9.20,3B
26,476,26,Apr 27,ATL,,MIA,L4-5,CG,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.258,.351,.454,.804,3,.48,-0.051,.63,-0.04%,-1.44,0.00,0.00,3B
27,477,27,Apr 28,ATL,@,NYM,W4-0,CG(5),3,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.253,.350,.444,.795,3,.45,0.016,.62,0.01%,0.05,2.00,3.00,3B
28,478,28,May 1 (1),ATL,@,NYM,W9-8,CG,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.240,.336,.423,.759,3,.90,-0.128,1.21,-0.10%,-1.60,0.00,0.00,3B
29,479,29,May 1 (2),ATL,@,NYM,L3-5,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.241,.333,.417,.750,3,1.52,-0.060,2.08,-0.05%,-0.79,3.00,3.00,3B
30,480,30,May 2,ATL,@,MIA,W6-0,CG,5,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.241,.336,.411,.747,3,.86,0.003,1.14,0.00%,0.70,7.00,9.50,3B
31,481,31,May 3,ATL,@,MIA,W14-6,CG,5,5,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.239,.331,.427,.758,3,.21,-0.010,.28,-0.01%,1.05,16.00,22.20,3B
32,482,32,May 4,ATL,@,MIA,W6-3,CG,5,4,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,.248,.340,.430,.770,3,.74,0.069,.98,0.05%,1.00,10.00,12.20,3B
33,483,33,May 5,ATL,,BAL,L4-9,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.256,.345,.432,.777,3,.97,-0.075,1.17,-0.05%,-0.18,8.00,9.20,3B
34,484,34,May 6,ATL,,BAL,W5-4,CG,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.256,.342,.434,.776,3,1.65,0.071,2.03,0.05%,-0.36,7.00,9.20,3B
35,485,35,May 7,ATL,,BAL,W3-2,CG(12),5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.246,.331,.418,.749,3,1.90,-0.236,2.16,-0.16%,-1.44,0.00,0.00,3B
36,486,36,May 9,ATL,,BOS,W9-3,CG,5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.239,.327,.406,.733,3,.57,0.018,.65,0.01%,-1.58,4.00,6.20,3B
37,487,37,May 10,ATL,,BOS,L2-5,CG,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.246,.331,.408,.740,3,1.29,0.009,1.48,0.01%,0.31,8.00,9.20,3B
38,488,38,May 12,ATL,@,TOR,L0-3,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.240,.323,.397,.721,3,1.11,-0.210,1.29,-0.15%,-1.53,0.00,0.00,3B
39,489,39,May 13,ATL,@,TOR,L2-5,CG,5,4,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.240,.326,.393,.719,3,1.09,0.013,1.31,0.01%,-0.01,5.00,6.00,3B
40,490,40,May 14,ATL,@,TOR,L5-6,CG,5,4,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.247,.333,.396,.729,4,.80,0.070,1.00,0.05%,0.84,8.00,9.00,3B
41,491,41,May 15,ATL,@,TEX,W12-0,CG,5,5,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.245,.330,.409,.738,4,.32,-0.041,.40,-0.03%,0.70,16.00,22.20,3B
42,492,42,May 16,ATL,@,TEX,L4-7,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.239,.323,.399,.721,4,1.08,-0.115,1.29,-0.08%,-0.96,0.00,0.00,3B
43,493,43,May 17,ATL,@,TEX,W6-5,CG,4,4,1,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.246,.326,.407,.734,4,1.30,0.281,1.65,0.21%,1.19,12.00,15.70,3B
44,494,44,May 19,ATL,,SEA,W6-2,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.251,.330,.409,.739,4,1.19,0.007,1.41,0.01%,0.04,8.00,9.20,3B
45,495,45,May 20,ATL,,SEA,L3-7,CG,4,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.253,.328,.408,.736,4,.66,-0.043,.79,-0.03%,-0.48,5.00,6.50,3B
46,496,46,May 21,ATL,,SEA,W3-2,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.253,.327,.404,.731,3,.80,-0.065,1.01,-0.05%,-0.62,3.00,3.00,3B
47,497,47,May 22,ATL,,LAD,L6-8,CG,4,2,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,.256,.335,.411,.746,4,1.10,0.141,1.44,0.11%,1.43,11.00,15.20,3B
48,498,48,May 23,ATL,,LAD,L1-8,CG,4,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.255,.333,.413,.746,4,.82,0.042,1.10,0.03%,0.23,7.00,9.50,3B
49,499,49,May 24,ATL,,LAD,W4-3,CG,4,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,.261,.336,.426,.762,3,.94,0.170,1.30,0.14%,0.77,12.00,15.20,3B
50,500,50,May 25,ATL,,PHI,W8-5,CG,5,5,2,2,0,0,2,3,0,0,2,0,0,0,0,0,0,0,.264,.338,.456,.794,3,.98,0.210,1.40,0.18%,1.33,30.00,40.90,3B
51,501,51,May 26,ATL,,PHI,L4-6,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.264,.336,.452,.788,3,.97,-0.102,1.32,-0.08%,-0.96,3.00,3.00,3B
