Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,738,1,Mar 30,ATL,@,WSN,W7-2,CG,5,5,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.400,.400,.600,1.000,2,1.10,-0.071,1.09,-0.04%,-0.80,10.00,12.20,1B
2,739,2,Apr 1,ATL,@,WSN,W7-1,CG,4,3,2,2,0,0,2,3,1,0,1,0,0,0,0,0,0,0,.500,.556,1.375,1.931,2,.51,0.098,.56,0.06%,2.83,32.00,43.90,1B
3,740,3,Apr 2,ATL,@,WSN,L1-4,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.364,.462,1.000,1.462,2,.90,-0.049,.98,-0.03%,-0.61,2.00,3.00,1B
4,741,4,Apr 3,ATL,@,STL,W8-4,CG,5,5,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.313,.389,.750,1.139,2,.34,-0.003,.34,0.00%,-0.19,7.00,9.70,1B
5,742,5,Apr 4,ATL,@,STL,W4-1,CG,5,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.238,.304,.571,.876,2,.57,-0.069,.61,-0.04%,-1.26,0.00,0.00,1B
6,743,6,Apr 5,ATL,@,STL,W5-2,CG,5,5,2,3,2,0,1,3,0,0,1,0,0,0,0,0,0,0,.308,.357,.769,1.126,2,.44,0.231,.48,0.15%,2.98,30.00,40.90,1B
7,744,7,Apr 6,ATL,,SDP,W7-6,CG,5,4,1,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,.333,.394,.767,1.161,2,1.61,0.206,1.81,0.14%,1.91,16.00,22.20,1B
8,745,8,Apr 7,ATL,,SDP,L4-5,CG,5,2,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,.313,.421,.719,1.140,2,1.83,0.054,2.14,0.04%,0.81,8.00,12.20,1B
9,746,9,Apr 8,ATL,,SDP,L1-4,CG,4,4,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.361,.452,.750,1.202,2,.68,0.102,.77,0.07%,1.29,13.00,15.50,1B
10,747,10,Apr 9,ATL,,SDP,L2-10,CG,5,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.350,.447,.700,1.147,2,.63,0.016,.70,0.01%,0.69,7.00,9.50,1B
11,748,11,Apr 10,ATL,,CIN,W5-4,CG(10),5,2,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,.333,.462,.667,1.128,2,1.47,-0.021,1.58,-0.01%,-0.06,6.00,9.00,1B
12,749,12,Apr 11,ATL,,CIN,W7-6,CG,5,5,1,1,0,0,1,1,0,0,3,0,0,0,0,1,0,0,.319,.439,.681,1.119,2,1.06,-0.079,1.19,-0.05%,-1.07,14.00,18.70,1B
13,750,13,Apr 12,ATL,,CIN,W5-4,CG,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.294,.410,.627,1.037,2,1.41,-0.165,1.58,-0.11%,-1.53,0.00,0.00,1B
