Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,1,47 (46),May 28,ATL,,MIA,L1-4,CG,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.333,.333,.333,.667,9,.87,-0.001,.70,0.00%,-0.14,5.00,6.20,CF
2,2,48,May 29,ATL,,MIA,W6-3,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.167,.167,.167,.333,9,.48,-0.044,.35,-0.02%,-0.90,0.00,0.00,CF
3,3,49,May 30,ATL,@,ARI,L2-6,GS-9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.111,.111,.222,9,1.18,-0.094,.92,-0.04%,-0.97,0.00,0.00,CF
4,4,50,May 31,ATL,@,ARI,L7-8,CG(10),4,4,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.154,.154,.154,.308,9,.96,-0.033,.69,-0.01%,0.03,7.00,9.70,CF
5,5,51,Jun 1,ATL,@,ARI,W6-0,CG,4,3,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,.188,.235,.250,.485,9,.62,0.098,.39,0.04%,1.03,9.00,12.50,CF
6,6,52,Jun 2,ATL,@,COL,W13-6,CG,5,5,2,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.286,.318,.381,.699,9,.48,0.093,.33,0.04%,1.35,17.00,21.90,CF
7,7,53,Jun 3,ATL,@,COL,W3-1,CG(10),4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.280,.308,.360,.668,9,1.78,-0.165,1.35,-0.08%,-0.77,3.00,3.00,CF
8,8,54,Jun 4,ATL,@,COL,W6-2,CG(11),5,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.323,.400,.723,9,1.71,0.086,1.40,0.04%,0.04,8.00,9.00,CF
9,9,55,Jun 5,ATL,@,COL,W8-7,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.265,.286,.353,.639,9,.56,-0.061,.48,-0.03%,-0.95,0.00,0.00,CF
10,10,56,Jun 7,ATL,,OAK,W3-2,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.243,.263,.324,.587,9,1.22,-0.096,1.00,-0.05%,-0.91,0.00,0.00,CF
11,11,57,Jun 8,ATL,,OAK,W13-2,CG,4,4,2,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,.268,.286,.415,.700,9,.74,0.169,.69,0.09%,1.79,21.00,28.40,CF
12,12,58,Jun 9,ATL,,PIT,W3-1,CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.289,.409,.698,9,.42,-0.023,.41,-0.01%,-0.21,3.00,3.00,CF
13,13,59,Jun 10,ATL,,PIT,W4-2,CG,4,3,2,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,.298,.327,.447,.773,9,.52,0.062,.55,0.04%,0.92,19.00,24.40,CF
