Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,396,20 (19),Apr 28,ATL,,CHC,W5-1,CG,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,.200,.200,.200,.400,1,.90,-0.057,.69,-0.03%,-0.93,13.00,15.00,RF
2,397,22 (1),Apr 30,ATL,@,TEX,L1-3,CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.222,.222,.222,.444,1,1.41,-0.024,1.14,-0.01%,0.05,5.00,6.50,DH
3,398,23,May 1,ATL,@,TEX,L3-7,CG,5,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.154,.214,.154,.368,1,.77,-0.054,.59,-0.03%,-0.73,2.00,3.00,DH
4,399,24,May 2,ATL,@,NYM,W5-2,CG,5,4,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.176,.263,.176,.440,1,.61,0.008,.49,0.00%,-0.10,5.00,6.00,RF
5,400,26 (1),May 3 (2),ATL,@,NYM,L0-3,CG,4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.200,.304,.250,.554,1,.92,0.054,.78,0.03%,0.55,7.00,9.00,RF
6,401,27,May 4,ATL,@,NYM,W9-2,CG,5,5,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,.200,.286,.240,.526,1,.90,-0.094,.69,-0.04%,0.20,5.00,6.50,DH
7,402,28,May 6,ATL,,MIL,L3-6,CG,4,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.207,.281,.345,.626,1,.71,0.075,.57,0.04%,0.50,14.00,18.70,RF
8,403,29,May 7,ATL,,MIL,W3-2,CG,4,3,1,2,0,0,1,1,1,0,1,0,0,0,0,0,1,0,.250,.333,.469,.802,1,.66,0.197,.47,0.09%,1.44,24.00,30.70,RF
9,404,30,May 8,ATL,,MIL,W9-2,CG,5,4,1,2,1,0,0,1,1,0,1,0,0,0,0,0,1,0,.278,.366,.500,.866,1,.86,0.075,.67,0.04%,0.92,19.00,24.70,DH
10,405,31,May 10,ATL,,BOS,L4-9,CG,5,3,1,1,0,0,0,0,2,0,2,0,0,0,0,0,1,0,.282,.391,.487,.878,1,.77,0.131,.59,0.06%,0.79,14.00,18.20,RF
11,406,37 (5),May 17,ATL,@,MIL,W3-0,CG,5,3,1,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,.286,.412,.476,.888,1,1.08,0.241,.77,0.10%,2.37,14.00,18.20,DH
12,407,38,May 18,ATL,@,MIL,L6-7,CG(11),5,4,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,.261,.393,.435,.828,1,.66,-0.057,.52,-0.03%,-0.66,6.00,9.40,RF
13,408,39,May 20,ATL,@,MIA,W5-3,CG,5,4,1,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,.280,.410,.460,.870,1,.40,0.084,.30,0.04%,1.19,17.00,21.20,DH
14,409,40,May 21,ATL,@,MIA,W4-3,CG,5,3,1,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,.283,.424,.453,.877,1,.83,0.023,.65,0.01%,0.20,14.00,18.20,DH
15,410,41,May 22,ATL,@,MIA,L3-4,CG,4,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.298,.429,.474,.902,1,1.28,0.073,1.06,0.04%,0.49,8.00,9.00,DH
16,411,42,May 23,ATL,,PHI,L3-7,CG,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.274,.400,.435,.835,1,.45,-0.062,.35,-0.03%,-1.34,0.00,0.00,RF
17,412,43,May 24,ATL,,PHI,W6-5,CG,5,3,1,2,0,0,0,3,0,0,1,0,0,2,1,0,0,0,.292,.400,.446,.846,1,2.02,0.336,1.41,0.14%,1.45,14.00,19.70,RF
18,413,46 (2),May 27,ATL,,MIA,W6-4,7-GF,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.303,.407,.470,.877,9,1.83,0.259,1.41,0.12%,1.09,9.00,12.70,PH RF
19,414,47,May 28,ATL,,MIA,L1-4,CG,4,3,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,.304,.412,.464,.876,1,1.25,0.085,1.02,0.04%,0.38,10.00,12.00,DH
20,415,48,May 29,ATL,,MIA,W6-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.288,.393,.438,.832,1,.56,-0.060,.41,-0.03%,-0.93,0.00,0.00,RF
21,416,49,May 30,ATL,@,ARI,L2-6,CG,5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.286,.394,.429,.822,1,.93,0.100,.72,0.05%,0.70,7.00,9.20,DH
22,417,50,May 31,ATL,@,ARI,L7-8,CG(10),5,4,1,1,1,0,0,1,0,0,2,1,0,0,0,1,0,0,.284,.394,.432,.826,1,.91,0.050,.65,0.02%,0.12,11.00,15.70,RF
23,418,52 (1),Jun 2,ATL,@,COL,W13-6,CG,6,5,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,.291,.400,.442,.842,1,.42,-0.005,.29,0.00%,0.84,14.00,18.70,DH
24,419,53,Jun 3,ATL,@,COL,W3-1,CG(10),5,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.300,.409,.444,.854,1,1.92,-0.007,1.45,0.00%,-0.34,10.00,12.20,RF
25,420,54,Jun 4,ATL,@,COL,W6-2,CG(11),5,4,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,.287,.391,.426,.817,1,2.15,-0.163,1.77,-0.08%,-1.56,2.00,3.50,RF
26,421,55,Jun 5,ATL,@,COL,W8-7,CG,5,5,3,4,0,0,1,1,0,0,1,0,0,0,0,0,1,0,.313,.408,.475,.883,1,.62,0.129,.53,0.07%,2.05,32.00,40.10,RF
27,422,56,Jun 7,ATL,,OAK,W3-2,CG,4,4,2,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,.320,.411,.534,.945,1,.93,0.173,.76,0.09%,1.60,28.00,37.40,RF
28,423,57,Jun 8,ATL,,OAK,W13-2,GS-8,4,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,.318,.406,.523,.930,1,.74,-0.074,.69,-0.04%,-0.45,5.00,6.20,RF
29,424,58,Jun 9,ATL,,PIT,W3-1,CG,4,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,.312,.409,.514,.923,1,.79,0.028,.77,0.02%,0.36,11.00,15.20,RF
30,425,59,Jun 10,ATL,,PIT,W4-2,CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.319,.412,.522,.934,1,1.02,0.005,1.09,0.00%,-0.38,8.00,9.00,RF
31,426,60,Jun 11,ATL,,PIT,W10-4,CG,5,4,2,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,.316,.411,.538,.950,1,1.51,0.088,1.58,0.06%,0.75,18.00,24.90,RF
32,427,61,Jun 12,ATL,,PIT,W5-3,CG,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.311,.414,.529,.943,1,.58,0.016,.63,0.01%,0.08,4.00,6.00,RF
33,428,62,Jun 13,ATL,@,WSN,W9-5,CG,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.306,.407,.516,.923,1,.66,-0.060,.75,-0.04%,-1.00,3.00,3.00,RF
34,429,63,Jun 14,ATL,@,WSN,W10-4,CG,5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.297,.400,.500,.900,1,.51,-0.061,.58,-0.04%,-0.97,2.00,3.00,RF
35,430,64,Jun 15,ATL,@,WSN,W8-2,CG,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.284,.385,.478,.863,1,.68,-0.104,.79,-0.07%,-2.09,0.00,0.00,RF
36,431,65,Jun 17,ATL,@,CHC,L0-1,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.283,.382,.471,.853,1,1.08,-0.050,1.20,-0.03%,-0.17,3.00,3.00,RF
37,432,66,Jun 18,ATL,@,CHC,L3-6,CG,5,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.289,.388,.472,.860,1,.73,0.018,.82,0.01%,0.11,8.00,9.00,RF
38,433,67,Jun 19,ATL,@,CHC,W6-0,CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.279,.377,.456,.833,1,.35,-0.044,.38,-0.03%,-1.03,0.00,0.00,RF
39,434,68,Jun 20,ATL,,SFG,W2-1,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.272,.369,.444,.812,1,1.61,0.031,2.00,0.02%,-0.26,5.00,6.00,RF
40,435,69,Jun 21,ATL,,SFG,L10-12,CG,5,5,2,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.282,.375,.468,.843,1,1.70,0.201,2.11,0.15%,1.91,24.00,31.40,RF
