Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 30,@,WSN,W7-2,46,40,7,12,2,0,0,5,6,0,7,0,0,0,1,1,2,0,.300,.391,.350,.741,12,10,L,P.Corbin(33)
2,2,Apr 1,@,WSN,W7-1,37,35,7,11,0,0,4,6,2,0,8,0,0,0,0,3,0,0,.307,.373,.493,.867,3,9,R,J.Gray(35)
3,3,Apr 2,@,WSN,L1-4,33,28,1,4,1,0,0,1,5,0,6,0,0,0,0,3,0,0,.262,.345,.408,.753,5,9,L,M.Gore(60)
4,4,Apr 3,@,STL,W8-4,40,35,8,10,3,0,3,8,5,0,9,0,0,0,0,1,0,1,.268,.353,.464,.816,5,9,R,J.Woodford(25)
5,5,Apr 4,@,STL,W4-1,38,37,4,12,1,0,2,4,1,0,12,0,0,0,0,1,1,0,.280,.351,.474,.825,7,10,L,S.Matz(38)
6,6,Apr 5,@,STL,W5-2,38,36,5,10,3,0,1,5,1,0,8,0,0,1,0,0,1,0,.280,.341,.469,.810,6,9,R,M.Mikolas(39)
7,7,Apr 6,,SDP,W7-6,45,37,7,13,5,0,1,7,7,0,7,0,0,1,0,1,1,0,.290,.357,.484,.841,12,11,L,B.Snell(31)
8,8,Apr 7,,SDP,L4-5,41,33,4,6,0,0,1,3,8,0,9,0,0,0,1,1,2,0,.278,.355,.459,.814,10,9,R,N.Martinez(39)
9,9,Apr 8,,SDP,L1-4,35,32,1,5,2,0,0,1,3,0,15,0,0,0,0,0,0,0,.265,.343,.435,.777,7,11,R,M.Wacha(77)
10,10,Apr 9,,SDP,L2-10,39,33,2,8,0,0,0,2,5,0,9,1,0,0,0,2,1,0,.263,.344,.416,.761,10,11,R,S.Lugo(59)
11,11,Apr 10,,CIN,W5-4,40,35,5,10,2,0,1,4,5,0,13,0,0,0,0,2,0,0,.265,.347,.417,.765,9,11,R,G.Ashcraft(56)
